GROUP_ID,PERSON_ID
DOC_ACC_ENG,100283
ARG_SNRS_POTTED,100573
ARG_SNRS_POTTED,100060
DOC_ACC_ENG,100369
DOC_ACC_ENG,100397
DOC_ACC_ENG,100430
DOC_ACC_ENG,100434
DOC_ACC_ITAR,100086
DOC_ACC_SHOP_LEAD,103563
ARG_SNRS_POTTED,100068
DOC_ACC_ENG,100597
DOC_ACC_ENG,100599
DOC_ACC_ENG,100624
DOC_ACC_ENG,100628
ARG_SNRS_POTTED,100397
DOC_ACC_SHOP_LEAD,103735
DOC_ACC_ENG,100679
DOC_ACC_ENG,100700
DOC_ACC_SHOP_FLR_SUP,100105
DOC_ACC_SHOP_LEAD,110641
DOC_ACC_ENG,100745
DOC_ACC_SHOP_LEAD,WC3000
DOC_ACC_ITAR,100205
DOC_ACC_SHOP_LEAD,103560
DOC_ACC_QA_ENG,103558
DOC_ACC_SALES,102508
ARG_HTR_ENG_DFT,100343
DOC_ACC_SHOP_LEAD,103603
DOC_ACC_ENG_SUP,100027
DOC_ACC_ENG,103606
DOC_ACC_SHOP_LEAD,103622
DOC_ACC_IT,103760
DOC_ACC_MTRL_MNG,102711
DOC_ACC_SHOP_LEAD,103761
DOC_ACC_ITAR,100307
DOC_ACC_ENG_SUP,100259
DOC_ACC_ENG_SUP,100307
DOC_ACC_ENG_SUP,100309
DOC_ACC_SHOP_LEAD,103765
DOC_ACC_SHOP_LEAD,103766
DOC_ACC_ITAR,100309
DOC_ACC_SHOP_LEAD,103767
DOC_ACC_ITAR,100339
DOC_ACC_SHOP_LEAD,103043
DOC_ACC_ENG_SUP,100583
DOC_ACC_ENG_SUP,100595
DOC_ACC_ENG_SUP,100639
DOC_ACC_SHOP_LEAD,103316
DOC_ACC_ENV_CERT,103150
DOC_ACC_ENV_CERT,100177
DOC_ACC_ENG_SUP,100807
DOC_ACC_ENV_CERT,100059
DOC_ACC_ENG,100657
DOC_ACC_ITAR,100422
DOC_ACC_ITAR,100437
DOC_ACC_ENG,102325
DOC_ACC_ENG,TAXAUDITUSER
DOC_ACC_MNGR,100219
DOC_ACC_ITAR,102601
DOC_ACC_ENV_CERT,100574
DOC_ACC_PLN,100584
DOC_ACC_ITAR,100551
DOC_ACC_PLN,100357
DOC_ACC_FGCOORD,100187
DOC_ACC_SHOP_LEAD,103477
DOC_ACC_FGCOORD,100387
DOC_ACC_MNGR,103063
DOC_ACC_FGCOORD,100028
DOC_ACC_SHOP_LEAD,103478
DOC_ACC_FGCOORD,100015
TRAIN_DESIGN_ENG,100599
DOC_ACC_SHOP_LEAD,100497
DOC_ACC_AR,100243
DOC_ACC_SHOP_FLR_SUP,100256
DOC_ACC_MARKETING,100331
DOC_ACC_HTR_PTYPE,100907
DOC_ACC_SHOP_LEAD,103474
DOC_ACC_EXT,1019
TRAIN_DESIGN_ENG,100219
ARG_HTR_ENG_DFT,100137
DOC_ACC_SHOP_LEAD,103473
DOC_ACC_EXT,1020
DOC_ACC_ITAR,103378
DOC_ACC_ENG,100343
DOC_ACC_HTR_PTYPE,100144
DOC_ACC_MNGR_GENERAL,100700
DOC_ACC_SHOP_LEAD,100019
DOC_ACC_SHOP_LEAD,100102
DOC_ACC_SHOP_LEAD,100116
DOC_ACC_SHOP_LEAD,100151
DOC_ACC_ITAR,102705
DOC_ACC_SHOP_LEAD,100346
DOC_ACC_SHOP_LEAD,110632
DOC_ACC_SHOP_LEAD,100462
DOC_ACC_SHOP_LEAD,100601
DOC_ACC_SHOP_LEAD,100614
DOC_ACC_MTRL_MNG,103935
DOC_ACC_HR,110636
DOC_ACC_SHOP_LEAD,100861
DOC_ACC_ENG_SUP,100066
DOC_ACC_SHOP_LEAD,103595
DOC_ACC_QA_ENG,100015
DOC_ACC_SHOP_LEAD,103604
DOC_ACC_SHOP_LEAD,103663
DOC_ACC_ENG_SUP,100422
DOC_ACC_SHOP_LEAD,103662
DOC_ACC_EXT,1021
ARG_QUICK_TRN_ENG,100104
ARG_QUICK_TRN_ENG,100343
DOC_ACC_HTR_PTYPE,100808
DOC_ACC_DELIVERY,100028
ARG_SENCONOBJ,100043
DOC_ACC_ENG_SUP,103706
DOC_ACC_SHOP_FLR_SUP,100853
DOC_ACC_SHOP_FLR_SUP,100865
DOC_ACC_MNGR,103491
DOC_ACC_SHOP_FLR_SUP,100413
DOC_ACC_MTRL_MNG,100540
DOC_ACC_INSP,100015
DOC_ACC_INSP,100091
DOC_ACC_PLT_SVC,103713
DOC_ACC_ITAR,102715
DOC_ACC_QA_ENG,100265
DOC_ACC_ITAR,103716
ARG_SENCONOBJ,100309
ARG_SENCONOBJ,100639
TRAIN_DESIGN_ENG,100369
DOC_ACC_SHOP_LEAD,103742
DOC_ACC_INSP,100373
DOC_ACC_SHOP_LEAD,PLATINGLINE
DOC_ACC_FINANCE,100126
DOC_ACC_FINANCE,100243
DOC_ACC_SHOP_LEAD,WC1738
DOC_ACC_FINANCE,100893
DOC_ACC_SHOP_LEAD,FLEXPTT
DOC_ACC_MTRL_MNG,100613
LIBRARIAN,100085
DOC_ACC_ENG,100210
DOC_ACC_ENG,103944
DOC_ACC_SHOP_LEAD,103872
ARG_FINANCE_AR,100253
DOC_ACC_MTRL_MNG,100028
ARG_HEMI_OPS_TS,103140
DOC_ACC_MTRL_MNG,100294
DOC_ACC_ITAR,102724
DOC_ACC_MTRL_MNG,100494
DOC_ACC_MTRL_MNG,100527
ARG_FLX_DEM,102057
DOC_ACC_MTRL_MNG,100842
DOC_ACC_PLN,100251
DOC_ACC_PLT_SVC,100716
DOC_ACC_R&D,100066
DOC_ACC_R&D,100161
DOC_ACC_ITAR,103017
DOC_ACC_ITAR,103019
DOC_ACC_R&D,100382
DOC_ACC_ITAR,100934
DOC_ACC_ITAR,103184
DOC_ACC_R&D,100846
DOC_ACC_SHOP_LEAD,103904
DOC_ACC_SALES,100059
DOC_ACC_ITAR,103060
DOC_ACC_ITAR,103544
DOC_ACC_INSP,103080
ARG_INV_HTR,103421
DOC_ACC_MARKETING,103944
DOC_ACC_SALES,100218
DOC_ACC_MNGR,103944
FLEX_PLANNER,100754
DOC_ACC_SHOP_LEAD,100731
DOC_ACC_ENG,103960
DOC_ACC_SHOP_FLR_SUP,102387
DOC_ACC_SALES,102699
DOC_ACC_SHOP_LEAD,100942
DOC_ACC_SALES,100574
FLX_PROTO_TECH,100551
DOC_ACC_SALES,100615
DOC_ACC_MTRL_MNG,103040
ARG_SNSR_NEWPRODUCT,100573
ARG_SNSR_NEWPRODUCT,100060
DOC_ACC_SHOP_LEAD,100187
ARG_SNSR_COREPRODUCT,100043
LIBRARIAN,100309
DOC_ACC_SHOP_LEAD,WC1732
ARG_SNSR_COREPRODUCT,100068
DOC_ACC_SHOP_LEAD,100578
DOC_ACC_SHOP_LEAD,WC1731
DOC_ACC_SHOP_LEAD,103906
DOC_ACC_SHOP_LEAD,WC1734
ARG_PLAN_HTR,100584
DOC_ACC_ITAR,100527
DOC_ACC_SHOP_LEAD,WC1735
DOC_ACC_SALES,103057
ARG_SNSR_ECOPROJECTS,100624
DOC_ACC_ENG_SUP,100432
DOC_ACC_SALES,102700
ARG_FLX_RMA_ME,102057
ARG_SNSR_ECOPROJECTS,100690
DOC_ACC_SHOP_LEAD,WC1736
ARG_SNSR_ECOPROJECTS,100639
ARG_FLX_RMA_ME,100679
ARG_SNSR_ECOPROJECTS,100309
DOC_ACC_SALES,102690
ARG_SNSR_ECOPROJECTS,100068
DOC_ACC_SHOP_LEAD,WC1145
DOC_ACC_SHOP_LEAD,WC2120
DOC_ACC_SHOP_LEAD,WC7110
DOC_ACC_SHOP_LEAD,WC4280
DOC_ACC_SHOP_LEAD,WC4260
DOC_ACC_SHOP_LEAD,WC4220
DOC_ACC_SHOP_LEAD,WC4160
DOC_ACC_ENG_SUP,100205
ARG_SNSR_ECOPROJECTS,100043
DOC_ACC_SALES,1009
DOC_ACC_MARKETING,102690
DOC_ACC_FGCOORD,100740
DOC_ACC_FGCOORD,100431
DOC_ACC_SHOP_LEAD,103916
DOC_ACC_SHOP_LEAD,100829
DOC_ACC_ENG_SUP,103379
DOC_ACC_SHOP_LEAD,100604
HEMI_TECHS,103027
DOC_ACC_ENG_SUP,103549
DOC_ACC_SHOP_FLR_SUP,102271
FLX_PROTO_TECH,103424
DOC_ACC_SHOP_LEAD,WC4140
DOC_ACC_ENG,100552
ARG_HTR_ENG_DFT,103335
DOC_ACC_SHOP_LEAD,WC4080
DOC_ACC_ENG_SUP,103010
ARG_ECO_TSCS_HEMI,103880
DOC_ACC_SHOP_LEAD,100100
DOC_ACC_SHOP_LEAD,103977
DOC_ACC_SHOP_LEAD,103981
DOC_ACC_SHOP_LEAD,103982
ARG_ENG_SPACE,100483
DOC_ACC_SHOP_LEAD,100234
